RegionID,zipcode,City,State,Metro,CountyName,SizeRank,PctChangeLast6Mos,PctChangeYOY
83990,59263,Scobey,MT,,Daniels County,14268,0.008695652,0
84043,59422,Choteau,MT,,Teton County,12883,0.00862069,0
84055,59442,Fort Benton,MT,,Chouteau County,13834,0.00862069,0
79390,48815,Clarksville,MI,Ionia,Ionia County,13651,0.008547009,0
83894,59034,Hardin,MT,,Big Horn County,11409,0.008474576,0
83981,59254,Plentywood,MT,,Sheridan County,13112,0.008064516,0
60976,8087,Little Egg Harbor,NJ,New York-Newark-Jersey City,Ocean County,3443,0.007874016,0
62389,12087,New Baltimore,NY,,Greene County,14791,0.007874016,0
99608,98168,Burien,WA,Seattle-Tacoma-Bellevue,King County,2829,0.007722008,0
60081,6010,Bristol,CT,Hartford-West Hartford-East Hartford,Hartford County,126,0.007575758,0
60108,6043,Bolton,CT,Hartford-West Hartford-East Hartford,Tolland County,10980,0.007092199,0
62895,12997,Wilmington,NY,,Essex County,14696,0.007042254,0
80076,50010,Ames,IA,Ames,Story County,2266,0.006849315,0
84440,60195,Schaumburg,IL,Chicago-Naperville-Elgin,Cook County,9906,0.006756757,0
67101,21911,Rising Sun,MD,Philadelphia-Camden-Wilmington,Cecil County,8462,0.006711409,0
91706,77057,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,354,0.006535948,0
61177,8802,Bethlehem,NJ,New York-Newark-Jersey City,Hunterdon County,12093,0.006289308,0
60420,6751,Bethlehem,CT,Torrington,Litchfield County,11996,0.00625,0
67760,23517,Norfolk,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,9636,0.005847953,0
83644,58401,Jamestown,ND,Jamestown,Stutsman County,5708,0.005434783,0
61106,8551,East Amwell,NJ,New York-Newark-Jersey City,Hunterdon County,10938,0.005434783,0
98886,96749,Keaau,HI,Hilo,Hawaii County,7055,0.005025126,0
61851,10543,Mamaroneck,NY,New York-Newark-Jersey City,Westchester County,5866,0.004975124,0
88048,68523,Lincoln,NE,Lincoln,Lancaster County,14762,0.004926108,0
66739,21036,Dayton,MD,Baltimore-Columbia-Towson,Howard County,14251,0.004219409,0
99507,98022,Enumclaw,WA,Seattle-Tacoma-Bellevue,King County,4895,0.004201681,0
96601,92036,Julian,CA,San Diego-Carlsbad,San Diego County,11371,0.003649635,0
60679,7452,Glen Rock,NJ,New York-Newark-Jersey City,Bergen County,8583,0.00310559,0
62015,11204,New York,NY,New York-Newark-Jersey City,Kings County,387,0,0
62021,11210,New York,NY,New York-Newark-Jersey City,Kings County,753,0,0
93119,79907,El Paso,TX,El Paso,El Paso County,1183,0,0
65570,18702,Wilkes-Barre,PA,Scranton--Wilkes-Barre--Hazleton,Luzerne County,1204,0,0
73005,34112,Naples,FL,Naples-Immokalee-Marco Island,Collier County,1218,0,0
85863,63017,Chesterfield,MO,St. Louis,Saint Louis County,1274,0,0
67111,21921,Elkton,MD,Philadelphia-Camden-Wilmington,Cecil County,1390,0,0
73010,34119,Naples,FL,Naples-Immokalee-Marco Island,Collier County,1562,0,0
92446,78412,Corpus Christi,TX,Corpus Christi,Nueces County,1580,0,0
62334,12020,Milton,NY,Albany-Schenectady-Troy,Saratoga County,2030,0,0
91834,77304,Conroe,TX,Houston-The Woodlands-Sugar Land,Montgomery County,2369,0,0
76582,43214,Columbus,OH,Columbus,Franklin County,2541,0,0
79707,49341,Rockford,MI,Grand Rapids-Wyoming,Kent County,2594,0,0
84649,60652,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2874,0,0
84691,60714,Niles,IL,Chicago-Naperville-Elgin,Cook County,3189,0,0
60169,6118,East Hartford,CT,Hartford-West Hartford-East Hartford,Hartford County,3815,0,0
89301,72015,Benton,AR,Little Rock-North Little Rock-Conway,Saline County,3854,0,0
85606,62650,Jacksonville,IL,Jacksonville,Morgan County,3957,0,0
91254,76109,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,4094,0,0
92514,78570,Mercedes,TX,McAllen-Edinburg-Mission,Hidalgo County,4228,0,0
77218,44514,Poland,OH,Youngstown-Warren-Boardman,Mahoning County,4411,0,0
91894,77384,Conroe,TX,Houston-The Woodlands-Sugar Land,Montgomery County,4511,0,0
77182,44446,Niles,OH,Youngstown-Warren-Boardman,Trumbull County,4688,0,0
88959,71220,Bastrop,LA,Bastrop,Morehouse Parish,4724,0,0
61910,10901,Ramapo,NY,New York-Newark-Jersey City,Rockland County,4906,0,0
