,Unnamed: 0,Zipcode,Year,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Zip,City,State,CountyName,Average,PerCapInc1213PctChange,PerCapInc1314PctChange,PerCapInc1415PctChange,PerCapInc1516PctChange
191,74991,2762,2017,9000,43.1,93889,39956,557,6.1888888889999984,2762.0,Plainville,MA,Norfolk County,220.75,0.01658743282348074,0.01697758349006251,0.013145399110311429,-0.022224962999506714
197,74992,2763,2017,1933,33.2,106118,42497,29,1.500258665,2763.0,North Attleboro,MA,Bristol County,217.41666666666663,0.07591962404796626,0.04616311469237133,0.04820520203474432,0.07625042920911063
203,74993,2764,2017,3872,45.5,82130,34990,61,1.5754132230000002,2764.0,Dighton,MA,Bristol County,195.75,0.012969576541983274,0.013757819955465989,-0.10370525324896063,0.04195232955042738
209,74994,2769,2017,11990,43.8,96098,41468,271,2.260216847,2769.0,Rehoboth,MA,Bristol County,192.16666666666663,0.03639830627295915,-0.01371790362293357,0.038708438494458486,0.019887489105459233
215,74995,2770,2017,5199,46.5,102227,43564,228,4.385458742,2770.0,Rochester,MA,Plymouth County,196.0833333333333,0.014385945828347735,0.041446610010455576,0.039153602594794945,0.04364843440348798
221,74996,2771,2017,14957,45.3,86014,42254,822,5.495754496,2771.0,Seekonk,MA,Bristol County,196.5833333333333,0.018526700244470007,0.024146905725852985,0.04980940279542567,0.028322440087146017
227,74997,2777,2017,16204,46.5,81469,35286,881,5.436929153,2777.0,Swansea,MA,Bristol County,201.5833333333333,-0.05543971894547428,0.07320834593286962,-0.05105519709222062,-0.008016865108821492
233,74998,2779,2017,6630,42.7,89597,38122,260,3.921568627,2779.0,Berkley,MA,Bristol County,209.66666666666663,0.0797384345110288,0.002651480912350568,0.030020735042221247,0.11389893803244244
239,74999,2780,2017,50358,39.7,53201,28371,7317,14.52996545,2780.0,Taunton,MA,Bristol County,176.16666666666663,0.007501643401260694,-0.010477835348301712,0.011364517880692038,0.03428571428571425
245,75000,2790,2017,15832,46.7,80569,38194,648,4.0929762510000005,2790.0,Westport,MA,Bristol County,221.0,-0.015604791092616588,0.01093941903973028,0.017488839916369958,0.008191486407686188
251,75001,2804,2017,2076,51.9,92961,39302,132,6.358381503,2804.0,Hopkinton,RI,Washington County,161.91666666666666,0.02415995556789774,0.04962039045553146,-0.0033583053474554037,-0.0043776280168192905
257,75002,2806,2017,16218,46.0,117408,59392,459,2.830188679,2806.0,Barrington,RI,Bristol County,231.0,0.07122608079376325,-0.020913735435733494,0.0404121931075907,0.07279582889823022
263,75003,2807,2017,830,55.3,76174,44400,76,9.156626506,2807.0,New Shoreham,RI,Washington County,648.4166666666666,0.002866095995108564,-0.0608924284571124,-0.10975857171840131,0.01656791248860534
269,75004,2808,2017,2540,37.8,76848,28184,185,7.283464567,2808.0,Bradford,RI,Washington County,181.41666666666663,0.05941919538651663,-0.03010076790979488,-0.06564441771898177,0.005398834423826271
275,75005,2809,2017,22318,41.9,65890,33102,1634,7.321444574,2809.0,Bristol,RI,Bristol County,188.5,0.006995240680997883,-0.0078030831694474445,-0.026694373401534577,0.02430612580062408
281,75006,2812,2017,1348,43.3,123047,41528,25,1.854599407,2812.0,Richmond,RI,Washington County,172.33333333333337,0.006808678946773616,0.051687852512837695,0.038394834440619974,0.09003545917056366
287,75007,2813,2017,7762,47.9,72648,37262,657,8.464313321,2813.0,Charlestown,RI,Washington County,231.75,-0.0696886594612034,0.014132131090688338,0.0509247385369469,-0.016974890178426127
293,75008,2814,2017,7616,45.3,93468,36467,518,6.801470588,2814.0,Glocester,RI,Providence County,172.25,0.000858579663927328,0.02401960784313717,-0.0034705600765916333,0.05782394619911124
299,75009,2816,2017,32664,43.8,67115,34417,2122,6.49644869,2816.0,Coventry,RI,Kent County,176.0,0.01025917926565878,0.055986103687867494,0.02053017841326077,0.01332878708037577
305,75010,2817,2017,6084,44.8,102616,39446,164,2.695595003,2817.0,West Greenwich,RI,Kent County,148.0,-0.025730836588980233,-0.09717920353982301,0.09789867058751445,-0.034094079571452496
311,75011,2818,2017,18348,45.6,97800,57183,769,4.1911925010000015,2818.0,East Greenwich,RI,Kent County,181.91666666666663,0.062007931701408614,0.03219219661154127,-0.00857229420256278,-0.013895380190544704
317,75012,2822,2017,6424,46.4,80893,40182,466,7.254047322999999,2822.0,Exeter,RI,Washington County,183.8333333333333,-0.022185591525698545,0.024015476025977645,-0.03422032709019274,0.012993908232269646
323,75013,2825,2017,5391,50.0,79870,39140,257,4.7672046,2825.0,Foster,RI,Providence County,171.25,-0.04440685134277855,0.0004702367780482497,0.04885399098675669,0.03943483762125677
329,75014,2827,2017,2047,51.7,87500,37904,142,6.936980948,2827.0,Coventry,RI,Kent County,173.16666666666663,0.009989307220440002,-0.06229626946758415,0.12190628992482999,0.010566737288135508
335,75015,2828,2017,7683,49.7,79103,40544,280,3.644409736,2828.0,Greenville,RI,Providence County,182.5,0.040221422338568846,-0.03313497784884789,-0.011604262126182818,0.013249211356466839
341,75016,2830,2017,5649,43.0,67589,35617,497,8.798017348,2830.0,Burrillville,RI,Providence County,167.33333333333334,0.0688057706059757,0.02574470560856401,0.0029494342191089817,0.017050756397568145
347,75017,2831,2017,3260,44.8,91346,42108,105,3.220858896,2831.0,Scituate,RI,Providence County,170.91666666666666,0.048422574157868326,0.147909485988311,0.05806788511749339,0.046096140558681276
353,75018,2832,2017,4708,45.5,85324,40246,225,4.779099405,2832.0,Hopkinton,RI,Washington County,170.83333333333334,-0.05885949668533175,0.1569840998461276,-0.021190448043504007,0.036957637609831284
359,75019,2835,2017,5505,50.8,105201,59510,252,4.577656676,2835.0,Jamestown,RI,Newport County,341.6666666666667,0.14755297362811892,0.03960666484567055,-0.056840077071290906,0.02633485003250069
365,75020,2838,2017,3904,38.9,60278,35870,499,12.7817623,2838.0,Manville,RI,Providence County,158.33333333333334,-0.014889474287023252,-0.04483974731620355,0.38939381644080173,0.03130566831177184
371,75021,2840,2017,23267,37.5,65317,41475,3169,13.62014871,2840.0,Newport,RI,Newport County,309.5,0.020815103545196667,0.05756143176268891,-0.018691359237608673,0.011037969614296816
377,75022,2842,2017,16079,42.9,65851,36678,1509,9.384911997,2842.0,Middletown,RI,Newport County,238.75,-0.025997028910981657,0.025752331788584604,-0.018357543177399016,0.01371977861928353
383,75023,2852,2017,22129,45.7,83320,41377,2056,9.290975643,2852.0,North Kingstown,RI,Washington County,194.0833333333333,-0.0018588307190874342,-0.03242429653817702,0.0013446530267875456,0.04231285710524246
389,75024,2857,2017,9044,48.3,82621,42434,582,6.435205661,2857.0,Scituate,RI,Providence County,169.41666666666666,-0.011926332585120436,0.073653382964747,0.06385907665638468,0.009009872519888829
395,75025,2859,2017,7426,44.6,76146,29496,887,11.94451926,2859.0,Burrillville,RI,Providence County,173.66666666666663,-0.020376553195883385,-0.06777695794244754,0.08589627619478368,-0.009996182013814137
401,75026,2861,2017,25163,40.3,55683,27972,3141,12.48261336,2861.0,Pawtucket,RI,Providence County,164.33333333333334,-0.005643029083303719,-0.030280180966743342,0.009781051770002103,0.07663937748237015
407,75027,2863,2017,19395,29.1,30794,14842,5811,29.96133024,2863.0,Central Falls,RI,Providence County,122.25,-0.06004140786749479,-0.00468949836578092,0.0012849800114220766,0.015756452302866153
413,75028,2864,2017,34452,44.5,81810,41483,2488,7.221641704,2864.0,Cumberland,RI,Providence County,187.0833333333333,0.019020405807140595,0.05188919730357444,0.007377887877645595,0.04442424890409491
419,75029,2865,2017,16784,42.9,77817,40486,1466,8.734509056,2865.0,Lincoln,RI,Providence County,179.33333333333337,0.024004610488862266,-0.07282159199353999,0.02024227389089761,0.016917584975942868
425,75030,2871,2017,17165,47.3,91892,49553,1039,6.053014856,2871.0,Portsmouth,RI,Newport County,219.16666666666663,0.07737695481147466,0.0016029208780443671,-0.04276505890197824,0.1283378999674918
431,75031,2874,2017,6245,42.4,133655,54499,220,3.522818255,2874.0,North Kingstown,RI,Washington County,206.16666666666663,0.013999863415966596,0.03340517241379315,0.07199339589850529,0.09198313946419168
437,75032,2878,2017,15870,50.2,75716,40680,909,5.72778828,2878.0,Tiverton,RI,Newport County,182.66666666666663,0.06997067949557345,0.016947348817410335,-0.022839053997488534,0.03400176702096336
443,75033,2879,2017,20736,47.2,79537,40936,1670,8.053626543,2879.0,South Kingstown,RI,Washington County,217.41666666666663,0.04437833147390613,-0.0684391691394659,-0.03796952245043572,0.027998516634880177
449,75034,2881,2017,7842,19.7,80208,16705,589,7.510839072,2881.0,Kingston,RI,Washington County,193.3333333333333,0.002531930456310061,-0.02862274104837803,-0.06811878899930668,-0.050220100440200865
455,75035,2882,2017,13654,44.4,65385,45020,2685,19.66456716,2882.0,Narragansett,RI,Washington County,279.0833333333333,0.010345245305875217,-0.025826099467651464,0.019544615384615494,0.057968565151259144
461,75036,2885,2017,10492,45.2,55689,35725,1110,10.57948913,2885.0,Warren,RI,Bristol County,186.66666666666663,-0.004799740554564669,-0.015772151073744634,0.08224348574644913,0.017866430079236384
467,75037,2886,2017,28695,45.5,70196,37763,2327,8.109426728999999,2886.0,Warwick,RI,Kent County,167.83333333333334,0.028501127742464716,0.014923672818409672,0.0286788640700415,0.006137814392492835
473,75038,2888,2017,19328,43.8,67579,37281,1103,5.706746689,2888.0,Warwick,RI,Kent County,164.91666666666666,0.037536407369833436,-0.0037534695937421203,0.032230489156245046,0.05603778793362579
479,75039,2889,2017,27461,44.0,70955,33958,1789,6.514693565,2889.0,Warwick,RI,Kent County,162.75,0.036326806212019,-0.018373729476153233,0.045599362803663945,0.024884149050974358
485,75040,2891,2017,21031,46.9,62743,38456,2200,10.46074842,2891.0,Westerly,RI,Washington County,203.75,0.0006716701223608013,0.04975777738866505,0.01334408273331289,-0.014155990233464144
491,75041,2892,2017,4977,46.6,94176,41933,141,2.833031947,2892.0,Richmond,RI,Washington County,180.91666666666663,0.0745684332221026,0.022715602611438568,0.021111270501601886,-0.034161417968109786
497,75042,2893,2017,29260,38.9,51740,29465,4271,14.59671907,2893.0,West Warwick,RI,Kent County,127.41666666666669,0.019258880280660806,-0.008676634039654352,-0.009548265760063623,0.021289026839510727
503,75043,2895,2017,41508,37.8,38340,22747,9937,23.93996338,2895.0,Woonsocket,RI,Providence County,128.16666666666666,0.005195671862338491,0.029779969650986393,0.023899428992447902,0.008680008994828015
509,75044,2896,2017,12121,47.7,81987,39972,520,4.290075076,2896.0,North Smithfield,RI,Providence County,151.91666666666666,0.005262577836556925,0.0283130053446623,0.0363825363825363,0.012396162847516878
515,75045,2898,2017,1441,47.2,82996,34598,10,0.693962526,2898.0,Richmond,RI,Washington County,174.0,0.10498464754687409,-0.060039020929407605,0.08538541371827524,-0.030453175707000457
521,75046,2903,2017,10890,28.9,30711,33478,3082,28.30119376,2903.0,Providence,RI,Providence County,256.8333333333333,0.010942272744847825,0.05981794538361518,0.08188379646337052,-0.004703292304613194
527,75047,2904,2017,30702,39.6,41054,26703,5380,17.52328839,2904.0,North Providence,RI,Providence County,150.0,-0.0004364732957701234,0.02568377595172877,0.02565988079572712,-0.008980793177615909
533,75048,2905,2017,25497,32.2,41050,22312,6302,24.71663333,2905.0,Providence,RI,Providence County,135.33333333333334,-0.007569346497414253,-0.005400540054005365,-0.008478209097404155,0.035067492914445
539,75049,2906,2017,28745,30.4,77411,49733,4160,14.4720821,2906.0,Providence,RI,Providence County,250.0,0.007723721590909172,0.02250903004140614,0.013117649592900626,-0.004230891889018817
545,75050,2907,2017,29006,30.6,35512,16583,7949,27.40467489,2907.0,Providence,RI,Providence County,107.5,-0.004058672742808356,0.09501680131550727,0.02683468268477407,0.006994340942328536
551,75051,2908,2017,37309,30.0,45042,21720,7655,20.51783752,2908.0,Providence,RI,Providence County,133.91666666666666,0.017783375314861516,-0.019997030144037975,-0.010404565887165984,0.026948399938753642
557,75052,2909,2017,41524,30.3,33661,17781,12653,30.47153453,2909.0,Providence,RI,Providence County,126.5,-0.013338463511607057,-0.00045495905368519995,0.035893100981858383,0.043688406251961576
563,75053,2910,2017,21607,37.5,62941,27500,2349,10.87147684,2910.0,Cranston,RI,Providence County,147.66666666666666,-0.022934951421244576,-0.00961111932574299,-0.012205135861451222,-0.006196863782354067
569,75054,2911,2017,15812,39.0,57019,31156,1430,9.04376423,2911.0,North Providence,RI,Providence County,153.83333333333334,0.035305235305235216,0.019095257220051787,0.027479220406993354,0.053558352801701625
575,75055,2914,2017,21533,40.6,47985,27124,2942,13.662750199999998,2914.0,East Providence,RI,Providence County,163.66666666666666,-0.022638012444287536,0.0635723315875023,-0.01362710137544576,0.06124381321282546
581,75056,2915,2017,16778,45.3,59301,31552,1607,9.578018834,2915.0,East Providence,RI,Providence County,174.25,0.02417875604468911,0.025854770433083596,-0.03164677501269675,-0.029173632281115802
587,75057,2916,2017,8991,42.9,70184,37658,393,4.371037704,2916.0,East Providence,RI,Providence County,179.75,-0.025137385059034734,-0.011134676564156898,-0.0012699308593199232,0.007403221248940328
593,75058,2917,2017,13956,39.6,83010,34329,402,2.8804815130000003,2917.0,Smithfield,RI,Providence County,183.0833333333333,0.04576391350584896,0.025422867021456907,-0.015701960265776305,0.06360827512090284
599,75059,2919,2017,29159,45.5,60574,33113,2283,7.829486608,2919.0,Johnston,RI,Providence County,163.16666666666666,0.026756997194279153,0.03672354038922965,0.04468016714882683,-0.010276923076923072
605,75060,2920,2017,37153,42.2,53159,28856,3805,10.24143407,2920.0,Cranston,RI,Providence County,168.66666666666666,0.0023320895522387364,0.012835427330541327,0.005474941613384798,0.06054375142791857
611,75061,2921,2017,12885,41.5,103838,42979,406,3.1509507180000003,2921.0,Cranston,RI,Providence County,181.66666666666663,0.024636143117040543,0.06308105842026102,-0.03982926999002534,0.008987243911867004
617,75062,3031,2017,11412,45.7,125445,54818,209,1.831405538,3031.0,Amherst,NH,Hillsborough County,159.33333333333334,-0.00990099009900991,-0.027921810699588434,0.04011176258916671,0.03931783955390933
623,75063,3032,2017,5293,44.6,114041,45996,111,2.09710939,3032.0,Auburn,NH,Rockingham County,138.0,0.06739672858331014,0.07202410327004483,-0.0008722197993894509,0.06445511421504446
629,75064,3033,2017,5190,42.1,127222,49953,44,0.8477841999999999,3033.0,Brookline,NH,Hillsborough County,123.66666666666669,0.050115528643136065,0.07723823975720778,-0.03211719960557824,0.08142919516809788
635,75065,3034,2017,3974,50.5,95430,43957,247,6.215400101,3034.0,Candia,NH,Rockingham County,155.41666666666666,-0.03025401707588693,0.08681267601782738,-0.007899768541813401,0.04686311304965263
641,75066,3036,2017,4935,43.4,122083,48760,150,3.039513678,3036.0,Chester,NH,Rockingham County,152.5,-0.03502096410654132,0.014366083986337097,0.06903040507081304,0.09577079859181037
647,75067,3037,2017,4380,44.8,92598,39117,227,5.182648402,3037.0,Deerfield,NH,Rockingham County,134.58333333333334,-0.028381172300835034,-0.0043386945227436025,-0.004524133337034053,-0.030418781018234586
653,75068,3038,2017,33617,40.2,68322,33182,2293,6.820953684,3038.0,Derry,NH,Rockingham County,149.0,-0.027582892839980833,0.005271133952691631,0.02890476502588979,0.01834628615110212
659,75069,3042,2017,6835,40.4,74268,35651,351,5.135332846,3042.0,Epping,NH,Rockingham County,162.33333333333334,-0.00027724724293021197,0.03879456444704643,0.04161722828666359,-0.037163605296881674
665,75070,3043,2017,1593,49.3,93281,43770,107,6.716886378,3043.0,Francestown,NH,Hillsborough County,113.0,-0.05104314360947948,0.07033084311632876,-0.01288762588493364,0.0422737947927978
671,75071,3044,2017,4498,46.0,91486,43469,124,2.756780791,3044.0,Fremont,NH,Rockingham County,162.91666666666666,0.11957824843994969,0.0682573240712776,0.05508006271365051,0.0381242387332521
677,75072,3045,2017,13955,42.7,83556,37334,882,6.320315299,3045.0,Goffstown,NH,Hillsborough County,155.91666666666666,-0.006499645473883264,0.07963601760437733,0.002010686938797912,0.01954424255751941
683,75073,3046,2017,2788,43.8,102375,45238,42,1.506456241,3046.0,Dunbarton,NH,Merrimack County,150.5,-0.03037934113230012,-0.05791660764036455,0.016641186937670804,0.0059903858005669886
689,75074,3047,2017,1748,46.9,71429,32867,124,7.09382151,3047.0,Greenfield,NH,Hillsborough County,112.66666666666669,-0.031940419432239575,0.01912058198673794,-0.07169930511686673,0.017999319496427413
695,75075,3048,2017,3357,47.6,70529,34770,275,8.191837951,3048.0,Greenville,NH,Hillsborough County,112.5,0.0069071373752878085,0.0024598115299334644,0.029860031104198992,0.0767139836907278
701,75076,3049,2017,7779,49.1,126379,62606,151,1.941123538,3049.0,Hollis,NH,Hillsborough County,184.16666666666663,0.034456370703022765,-0.0029590406478741116,0.014546235551390119,0.09170339292931229
707,75077,3051,2017,24856,40.7,93181,40654,1413,5.684744126,3051.0,Hudson,NH,Hillsborough County,171.58333333333334,0.04316047956088398,0.024066022321304947,0.025609822056357867,0.02283454185893219
713,75078,3052,2017,8426,43.1,93351,39418,191,2.266793259,3052.0,Litchfield,NH,Hillsborough County,145.66666666666666,-0.04645568266866251,0.016762908560856715,0.03936921041023389,0.012042440318302372
719,75079,3053,2017,24854,41.8,97604,42424,736,2.961293957,3053.0,Londonderry,NH,Rockingham County,168.16666666666666,0.018295251131936308,0.05017708037122248,-0.01799428909019296,0.027448424535632787
725,75080,3054,2017,25566,42.5,97400,42470,1265,4.947977783,3054.0,Merrimack,NH,Hillsborough County,137.33333333333334,-0.034469857581123864,0.028984009713001413,-0.003464464137775236,0.03237183524373344
731,75081,3055,2017,15117,40.9,73557,34803,569,3.763974334,3055.0,Milford,NH,Hillsborough County,148.16666666666666,-0.028793182164054132,-0.0002820520856184894,0.03163009404388717,0.026497310766051774
737,75082,3057,2017,2554,45.1,104327,43935,173,6.773688332000001,3057.0,Mont Vernon,NH,Hillsborough County,142.58333333333334,-0.0004030957755563058,0.050165335914186704,0.06425517753372767,-0.05236571813436608
743,75083,3060,2017,29861,35.1,49469,26327,4988,16.70406215,3060.0,Nashua,NH,Hillsborough County,173.58333333333337,-0.04990786240786238,0.02076935509940192,0.01211305518169592,0.009347622027534364
749,75084,3062,2017,27343,43.9,88967,43440,1188,4.344804886,3062.0,Nashua,NH,Hillsborough County,180.16666666666663,0.017422069741885426,-0.004715614215337616,0.044891476971942845,0.04124024723882869
755,75085,3063,2017,16326,39.6,79116,38973,1142,6.994977337000001,3063.0,Nashua,NH,Hillsborough County,162.91666666666666,-0.015680665713171282,0.009827750184930872,-0.023152992884051926,0.0028120731674656785
761,75086,3064,2017,14112,39.0,65988,34190,1973,13.98100907,3064.0,Nashua,NH,Hillsborough County,174.08333333333337,-0.0217797316323306,-0.02746365105008075,-0.0304741769858049,0.020653562194324238
767,75087,3070,2017,5464,41.4,104754,40656,112,2.049780381,3070.0,New Boston,NH,Hillsborough County,129.25,0.07831877026659084,-0.0019741523770171465,-0.056972652206914054,0.01814634146341465
773,75088,3071,2017,5236,37.5,84477,36821,153,2.922077922,3071.0,New Ipswich,NH,Hillsborough County,111.08333333333331,-0.003147706880828438,0.040931358082984204,0.003090182292404986,0.03354813181843874
779,75089,3076,2017,13323,43.5,102577,40888,467,3.505216543,3076.0,Pelham,NH,Hillsborough County,181.0,0.0018353992658401985,-0.028967421607413057,0.0408782675270698,0.028187143720282748
785,75090,3077,2017,10415,40.7,67303,31248,1005,9.649543927,3077.0,Raymond,NH,Rockingham County,163.5,-0.023142937535171604,0.02844386836609769,0.026957008822293904,0.008829344787618432
791,75091,3079,2017,29039,44.3,81202,40816,1296,4.462963601,3079.0,Salem,NH,Rockingham County,197.3333333333333,0.03706432417115324,0.0037160500573802935,0.01608863722981435,0.07394507702612185
797,75092,3082,2017,1734,49.7,85139,41615,67,3.863898501,3082.0,Lyndeborough,NH,Hillsborough County,141.16666666666666,-0.007512311844411701,-0.005803033276330916,0.1026392961876832,0.061783960720130926
803,75093,3084,2017,1408,49.6,79821,35918,102,7.244318182000001,3084.0,Temple,NH,Hillsborough County,113.41666666666669,-0.07492535240608289,0.13560276234799584,0.06355554086657622,0.0468614045991298
809,75094,3086,2017,3760,45.2,74198,39427,127,3.377659574,3086.0,Wilton,NH,Hillsborough County,137.33333333333334,0.024731568632863077,-0.14127946127946123,0.06744040150564623,0.03914193358801055
815,75095,3087,2017,14344,43.0,117468,54080,414,2.886224205,3087.0,Windham,NH,Rockingham County,183.25,-0.017173877946399796,0.06383852487628583,-0.024396834587917415,0.007636608238040576
821,75096,3102,2017,31841,34.8,52677,27333,4946,15.53343174,3102.0,Manchester,NH,Hillsborough County,156.16666666666666,0.03323480067108742,-0.010129127039356645,0.01874707077019222,0.003220364974697132
827,75097,3103,2017,37087,35.0,53778,24134,6379,17.20009707,3103.0,Manchester,NH,Hillsborough County,159.91666666666666,0.020054896405170997,-0.006293129638470507,-0.015242837176799418,0.021643677651128845
833,75098,3104,2017,32223,37.8,62251,34028,3661,11.3614499,3104.0,Manchester,NH,Hillsborough County,155.33333333333334,0.0015898251192367763,0.024618736383442252,-0.009446857628869099,0.03750383318000616
839,75099,3106,2017,13987,40.9,85952,36819,562,4.01801673,3106.0,Hooksett,NH,Merrimack County,154.91666666666666,-0.02325844924785403,0.055919716920935114,-0.018843047849255612,-0.007698768197088479
